NU_ANO_CENSO,CO_IES,CO_CURSO,NO_CURSO,NO_REGIAO,CO_REGIAO,NO_UF,SG_UF,CO_UF
2014,699,116776,ENGENHARIA DE ALIMENTOS,Norte,1.0,Rondônia,RO,11.0
2014,699,116782,PEDAGOGIA,Norte,1.0,Rondônia,RO,11.0
2014,833,27377,ADMINISTRAÇÃO,Norte,1.0,Rondônia,RO,11.0
2014,833,5000035,CIÊNCIAS BIOLÓGICAS,Norte,1.0,Rondônia,RO,11.0
2014,833,21267,CIÊNCIAS CONTÁBEIS,Norte,1.0,Rondônia,RO,11.0
2014,833,98352,GEOGRAFIA,Norte,1.0,Rondônia,RO,11.0
2014,833,95156,LETRAS - PORTUGUÊS E ESPANHOL,Norte,1.0,Rondônia,RO,11.0
2014,833,95159,LETRAS - PORTUGUÊS E INGLÊS,Norte,1.0,Rondônia,RO,11.0
2014,833,75021,MATEMÁTICA,Norte,1.0,Rondônia,RO,11.0
2014,833,99006,PEDAGOGIA,Norte,1.0,Rondônia,RO,11.0
2014,1540,22113,ADMINISTRAÇÃO,Norte,1.0,Rondônia,RO,11.0
2014,1540,54688,DIREITO,Norte,1.0,Rondônia,RO,11.0
2014,1540,5000264,ENFERMAGEM,Norte,1.0,Rondônia,RO,11.0
2014,1540,5000263,FARMÁCIA,Norte,1.0,Rondônia,RO,11.0
2014,1540,96110,PSICOLOGIA,Norte,1.0,Rondônia,RO,11.0
2014,1540,118968,SISTEMAS PARA INTERNET,Norte,1.0,Rondônia,RO,11.0
2014,4613,1074296,EDUCAÇÃO FÍSICA,Norte,1.0,Rondônia,RO,11.0
2014,4613,104306,ENFERMAGEM,Norte,1.0,Rondônia,RO,11.0
2014,4613,104308,FARMÁCIA,Norte,1.0,Rondônia,RO,11.0
2014,4613,104312,FISIOTERAPIA,Norte,1.0,Rondônia,RO,11.0
2014,4613,104310,FÍSICA,Norte,1.0,Rondônia,RO,11.0
2014,4613,1168037,GESTÃO AMBIENTAL,Norte,1.0,Rondônia,RO,11.0
2014,4613,117508,PSICOLOGIA,Norte,1.0,Rondônia,RO,11.0
2014,4613,104314,QUÍMICA,Norte,1.0,Rondônia,RO,11.0
2014,4785,1263591,CIÊNCIAS BIOLÓGICAS,Norte,1.0,Rondônia,RO,11.0
2014,699,16008,ADMINISTRAÇÃO,Norte,1.0,Rondônia,RO,11.0
2014,699,16000,CIÊNCIAS CONTÁBEIS,Norte,1.0,Rondônia,RO,11.0
2014,699,16012,DIREITO,Norte,1.0,Rondônia,RO,11.0
2014,699,1106843,ENGENHARIA DE PRODUÇÃO,Norte,1.0,Rondônia,RO,11.0
2014,1917,108376,AGRONEGÓCIO,Norte,1.0,Rondônia,RO,11.0
2014,1917,1180192,ARQUITETURA E URBANISMO,Norte,1.0,Rondônia,RO,11.0
2014,1917,51273,CIÊNCIAS BIOLÓGICAS,Norte,1.0,Rondônia,RO,11.0
2014,1917,351273,CIÊNCIAS BIOLÓGICAS,Norte,1.0,Rondônia,RO,11.0
2014,1917,54418,EDUCAÇÃO FÍSICA,Norte,1.0,Rondônia,RO,11.0
2014,1917,51270,ENFERMAGEM,Norte,1.0,Rondônia,RO,11.0
2014,1917,119996,FARMÁCIA,Norte,1.0,Rondônia,RO,11.0
2014,1917,79756,FISIOTERAPIA,Norte,1.0,Rondônia,RO,11.0
2014,1917,99658,FÍSICA,Norte,1.0,Rondônia,RO,11.0
2014,1917,106986,GESTÃO AMBIENTAL,Norte,1.0,Rondônia,RO,11.0
2014,1917,106988,GESTÃO DE RECURSOS HUMANOS,Norte,1.0,Rondônia,RO,11.0
2014,1917,99654,MATEMÁTICA,Norte,1.0,Rondônia,RO,11.0
2014,1917,98409,MEDICINA,Norte,1.0,Rondônia,RO,11.0
2014,1917,98350,MEDICINA VETERINÁRIA,Norte,1.0,Rondônia,RO,11.0
2014,1917,100878,ODONTOLOGIA,Norte,1.0,Rondônia,RO,11.0
2014,1917,118802,PROCESSOS GERENCIAIS,Norte,1.0,Rondônia,RO,11.0
2014,1917,99596,PSICOLOGIA,Norte,1.0,Rondônia,RO,11.0
2014,1917,99656,QUÍMICA,Norte,1.0,Rondônia,RO,11.0
2014,4255,18805,ADMINISTRAÇÃO,Norte,1.0,Rondônia,RO,11.0
2014,4255,58741,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Norte,1.0,Rondônia,RO,11.0
2014,4255,1182873,ARQUITETURA E URBANISMO,Norte,1.0,Rondônia,RO,11.0
2014,4255,1044438,BIOMEDICINA,Norte,1.0,Rondônia,RO,11.0
2014,4255,19919,CIÊNCIAS CONTÁBEIS,Norte,1.0,Rondônia,RO,11.0
2014,4255,21304,CIÊNCIAS ECONÔMICAS,Norte,1.0,Rondônia,RO,11.0
2014,4255,49820,DIREITO,Norte,1.0,Rondônia,RO,11.0
2014,4255,1032526,ENGENHARIA AMBIENTAL,Norte,1.0,Rondônia,RO,11.0
2014,4255,1105315,ENGENHARIA CIVIL,Norte,1.0,Rondônia,RO,11.0
2014,4255,1032532,ENGENHARIA DE PRODUÇÃO,Norte,1.0,Rondônia,RO,11.0
2014,4255,73176,LETRAS - PORTUGUÊS E INGLÊS,Norte,1.0,Rondônia,RO,11.0
2014,4255,1105314,NUTRIÇÃO,Norte,1.0,Rondônia,RO,11.0
2014,4255,107152,PEDAGOGIA,Norte,1.0,Rondônia,RO,11.0
