NU_ANO_CENSO,CO_IES,CO_CURSO,NO_CURSO,NO_REGIAO,CO_REGIAO,NO_UF,SG_UF,CO_UF
2021,1,1113617,Administração Pública,,,,,
2021,1,114386,Ciências Naturais E Matemática,,,,,
2021,1,1357965,Matemática,,,,,
2021,1,105652,Pedagogia,,,,,
2021,1,1425400,Tecnologia Educacional,,,,,
2021,2,112158,Artes Visuais,,,,,
2021,2,112160,Educação Física,,,,,
2021,2,1434981,Física,,,,,
2021,2,122210,Geografia,,,,,
2021,2,112162,Letras - Língua Portuguesa E Respectiva Literatura,,,,,
2021,2,112164,Música,,,,,
2021,2,112170,Pedagogia,,,,,
2021,2,112166,Teatro,,,,,
2021,3,1116573,Administração Pública,,,,,
2021,3,1457508,Biblioteconomia,,,,,
2021,3,106411,Ciências Biológicas,,,,,
2021,3,1321266,Filosofia,,,,,
2021,3,106402,Física,,,,,
2021,3,106416,Geografia,,,,,
2021,3,106418,História,,,,,
2021,3,1321267,Letras - Espanhol,,,,,
2021,3,1321268,Letras - Inglês,,,,,
2021,3,106421,Letras - Língua Portuguesa,,,,,
2021,3,106404,Matemática,,,,,
2021,3,106408,Química,,,,,
2021,4,1104306,Administração,,,,,
2021,4,1183006,Administração Pública,,,,,
2021,4,112126,Artes Visuais,,,,,
2021,4,112118,Ciências Agrárias,,,,,
2021,4,104368,Ciências Biológicas,,,,,
2021,4,122002,Educação Física,,,,,
2021,5,108006,Administração,,,,,
2021,5,123498,Administração Pública,,,,,
2021,5,109390,Ciências Biológicas,,,,,
2021,5,1518472,Ciências Contábeis,,,,,
2021,5,1305536,Ciências Da Natureza,,,,,
2021,5,1305552,Computação E Informática,,,,,
2021,5,109394,Filosofia,,,,,
2021,5,109358,Física,,,,,
2021,5,1305546,Geografia,,,,,
2021,5,1305529,História,,,,,
2021,5,1186923,Letras - Inglês,,,,,
2021,5,1270463,Letras - Português,,,,,
2021,5,109356,Matemática,,,,,
2021,5,104726,Pedagogia,,,,,
2021,5,109386,Química,,,,,
2021,5,108660,Sistemas De Informação,,,,,
2021,5,1518473,Turismo,,,,,
2021,6,111502,Administração Pública,,,,,
2021,6,1177731,Geografia,,,,,
2021,6,111506,Matemática,,,,,
2021,6,111504,Pedagogia,,,,,
2021,7,109343,Educação Musical,,,,,
2021,7,109378,Engenharia Ambiental,,,,,
