NU_ANO;CO_CURSO;CO_IES;CO_CATEGAD;CO_ORGACAD;CO_GRUPO;CO_MODALIDADE;CO_MUNIC_CURSO;CO_UF_CURSO;CO_REGIAO_CURSO
2021;297;3;1;10028;702;1;2806701;28;2
2021;310;3;1;10028;3001;1;2806701;28;2
2021;311;3;1;10028;2402;1;2806701;28;2
2021;315;3;1;10028;2001;1;2806701;28;2
2021;317;3;1;10028;4004;1;2806701;28;2
2021;318;3;1;10028;5401;1;2806701;28;2
2021;322;3;1;10028;1501;1;2806701;28;2
2021;326;3;1;10028;3202;1;2806701;28;2
2021;327;3;1;10028;1602;1;2806701;28;2
2021;328;3;1;10028;3002;1;2806701;28;2
2021;487;5;1;10028;3502;1;2211001;22;2
2021;494;5;1;10028;2402;1;2211001;22;2
2021;495;5;1;10028;3002;1;2211001;22;2
2021;496;5;1;10028;3202;1;2211001;22;2
2021;498;5;1;10028;5401;1;2211001;22;2
2021;513;5;1;10028;4004;1;2211001;22;2
2021;519;5;1;10028;1501;1;2211001;22;2
2021;525;5;1;10028;1601;1;2211001;22;2
2021;950;11;5;10028;3202;1;2611606;26;2
2021;954;11;5;10028;2001;1;2611606;26;2
2021;955;11;5;10028;2402;1;2611606;26;2
2021;965;11;5;10028;702;1;2611606;26;2
2021;966;11;5;10028;1402;1;2611606;26;2
2021;968;11;5;10028;4004;1;2611606;26;2
2021;971;11;5;10028;1502;1;2611606;26;2
2021;972;11;5;10028;1602;1;2611606;26;2
2021;2108;24;2;10028;3202;1;2913606;29;2
2021;2110;24;2;10028;2001;1;2913606;29;2
2021;2194;29;2;10028;4301;1;2304400;23;2
2021;2197;29;2;10028;3202;1;2304400;23;2
2021;2199;29;2;10028;2402;1;2304400;23;2
2021;2204;29;2;10028;2001;1;2307601;23;2
2021;2205;29;2;10028;3002;1;2307601;23;2
2021;2206;29;2;10028;2402;1;2307601;23;2
2021;2208;29;2;10028;2001;1;2311306;23;2
2021;2209;29;2;10028;4004;1;2304400;23;2
2021;2211;29;2;10028;2001;1;2304103;23;2
2021;2212;29;2;10028;2001;1;2306405;23;2
2021;2213;29;2;10028;2402;1;2311306;23;2
2021;2215;29;2;10028;2001;1;2305506;23;2
2021;2216;29;2;10028;2001;1;2304400;23;2
2021;2217;29;2;10028;5402;1;2304400;23;2
2021;2221;29;2;10028;2001;1;2313302;23;2
2021;2450;40;2;10028;26;1;2927408;29;2
2021;3561;71;2;10028;2001;1;2408003;24;2
