NU_ANO;CO_CURSO;CO_IES;CO_CATEGAD;CO_ORGACAD;CO_GRUPO;CO_MODALIDADE;CO_MUNIC_CURSO;CO_UF_CURSO;CO_REGIAO_CURSO
2017;317;3;1;10028;4004;1;2806701;28;2
2017;513;5;1;10028;4004;1;2211001;22;2
2017;968;11;5;10028;4004;1;2611606;26;2
2017;2209;29;2;10028;4004;1;2304400;23;2
2017;10515;519;5;10028;4006;1;2927408;29;2
2017;11452;548;1;10028;4004;1;2111300;21;2
2017;11730;555;5;10028;4004;1;2304400;23;2
2017;12313;570;1;10028;4004;1;2408102;24;2
2017;13216;577;1;10028;4004;1;2704302;27;2
2017;13277;578;1;10028;4004;1;2927408;29;2
2017;13401;579;1;10028;4004;1;2507507;25;2
2017;13446;2564;1;10028;4004;1;2504009;25;2
2017;13595;580;1;10028;4004;1;2611606;26;2
2017;13980;583;1;10028;4004;1;2304400;23;2
2017;17266;847;5;10022;72;1;2211001;22;2
2017;17898;1059;4;10022;4004;1;2304400;23;2
2017;18267;396;4;10022;4004;1;2927408;29;2
2017;18558;756;2;10028;4004;1;2207702;22;2
2017;18559;756;2;10028;4004;1;2211001;22;2
2017;18584;95;2;10028;4004;1;2312908;23;2
2017;18671;40;2;10028;4006;1;2900702;29;2
2017;18683;398;4;10028;4004;1;2800308;28;2
2017;18903;621;5;10020;4006;1;2704302;27;2
2017;19042;688;2;10028;4004;1;2933307;29;2
2017;19047;352;4;10020;4004;1;2507507;25;2
2017;19780;1264;5;10020;4006;1;2408102;24;2
2017;20030;385;4;10028;4004;1;2927408;29;2
2017;20239;24;2;10028;4004;1;2913606;29;2
2017;20756;1441;4;10022;4006;1;2211001;22;2
2017;20933;71;2;10028;4004;1;2408003;24;2
2017;21464;1107;4;10020;4006;1;2304400;23;2
2017;21475;1185;4;10020;4006;1;2927408;29;2
2017;22047;718;4;10028;4006;1;2408102;24;2
2017;37862;692;7;10022;4004;1;2611101;26;2
2017;40343;398;4;10028;4006;1;2800308;28;2
2017;43917;587;1;10028;4005;1;2611606;26;2
2017;46068;3304;4;10022;4006;1;2510808;25;2
2017;46377;1658;4;10022;4004;1;2304400;23;2
2017;46487;1680;4;10022;4006;1;2408003;24;2
2017;47051;1298;4;10022;4006;1;2704302;27;2
2017;47069;1556;4;10020;4006;1;2304400;23;2
2017;47478;4420;4;10022;4006;1;2609600;26;2
2017;48205;1805;4;10020;4004;1;2607901;26;2
2017;48231;1809;1;10026;72;1;2611606;26;2
2017;48675;1058;4;10020;4006;1;2927408;29;2
2017;49054;1077;4;10020;4006;1;2611606;26;2
2017;49071;1075;4;10022;4006;1;2507507;25;2
2017;50082;1717;4;10022;4006;1;2105302;21;2
2017;50981;1734;4;10022;4006;1;2211001;22;2
2017;50996;1610;5;10022;4006;1;2211001;22;2
2017;51020;396;4;10022;4006;1;2927408;29;2
2017;51715;1944;4;10022;72;1;2611606;26;2
2017;51864;1965;5;10022;72;1;2704302;27;2
2017;53331;1053;4;10022;4006;1;2910800;29;2
2017;53333;1364;4;10022;4006;1;2933307;29;2
2017;53342;1895;4;10020;4006;1;2304400;23;2
2017;54934;2037;4;10022;4006;1;2919207;29;2
2017;55402;823;5;10028;4006;1;2111300;21;2
2017;56158;2783;4;10022;72;1;2304400;23;2
2017;56172;385;4;10028;4006;1;2927408;29;2
2017;57606;71;2;10028;4004;1;2408102;24;2
2017;57612;1642;4;10022;4006;1;2914802;29;2
2017;58391;1166;1;10026;79;1;2507507;25;2
2017;59078;1462;4;10022;4004;1;2507507;25;2
2017;59122;1819;4;10020;4004;1;2304400;23;2
2017;59365;3299;4;10022;79;1;2304400;23;2
2017;59619;1643;5;10022;79;1;2910800;29;2
